CustomerID,CustomerName,Gender,Age,City,Region,Segment
C0001,Customer 0001,Female,49,Noida,North,Corporate
C0002,Customer 0002,Female,22,Ahmedabad,West,Small Business
C0003,Customer 0003,Male,43,Jaipur,North,Small Business
C0004,Customer 0004,Female,52,Mysuru,South,Small Business
C0005,Customer 0005,Male,58,Bengaluru,South,Corporate
C0006,Customer 0006,Male,26,Bengaluru,South,Small Business
C0007,Customer 0007,Female,37,Kolkata,East,Small Business
C0008,Customer 0008,Male,39,Bengaluru,South,Consumer
C0009,Customer 0009,Female,60,Noida,North,Consumer
C0010,Customer 0010,Female,31,Patna,East,Corporate
C0011,Customer 0011,Female,51,Lucknow,North,Corporate
C0012,Customer 0012,Female,39,Noida,North,Small Business
C0013,Customer 0013,Female,54,Kochi,South,Consumer
C0014,Customer 0014,Male,41,Pune,West,Consumer
C0015,Customer 0015,Male,53,Bengaluru,South,Small Business
C0016,Customer 0016,Female,35,Ranchi,East,Small Business
C0017,Customer 0017,Male,61,Ahmedabad,West,Corporate
C0018,Customer 0018,Male,56,Noida,North,Consumer
C0019,Customer 0019,Male,50,Surat,West,Corporate
C0020,Customer 0020,Male,45,Mumbai,West,Small Business
C0021,Customer 0021,Male,25,Ranchi,East,Small Business
C0022,Customer 0022,Female,22,Hyderabad,South,Consumer
C0023,Customer 0023,Female,38,Kolkata,East,Small Business
C0024,Customer 0024,Male,61,Bhubaneswar,East,Consumer
C0025,Customer 0025,Female,48,Jaipur,North,Consumer
C0026,Customer 0026,Male,56,Bhubaneswar,East,Consumer
C0027,Customer 0027,Female,55,Kolkata,East,Corporate
C0028,Customer 0028,Female,31,Surat,West,Small Business
C0029,Customer 0029,Male,42,Chennai,South,Corporate
C0030,Customer 0030,Male,29,Delhi,North,Consumer
C0031,Customer 0031,Female,49,Ahmedabad,West,Corporate
C0032,Customer 0032,Female,21,Patna,East,Small Business
C0033,Customer 0033,Female,45,Chennai,South,Corporate
C0034,Customer 0034,Female,56,Noida,North,Consumer
C0035,Customer 0035,Male,34,Hyderabad,South,Corporate
C0036,Customer 0036,Male,31,Indore,Central,Corporate
C0037,Customer 0037,Female,19,Indore,Central,Consumer
C0038,Customer 0038,Male,59,Bhubaneswar,East,Consumer
C0039,Customer 0039,Male,38,Ranchi,East,Corporate
C0040,Customer 0040,Female,42,Gurugram,North,Small Business
C0041,Customer 0041,Female,37,Indore,Central,Corporate
C0042,Customer 0042,Female,33,Ahmedabad,West,Consumer
C0043,Customer 0043,Male,23,Mumbai,West,Consumer
C0044,Customer 0044,Female,51,Kolkata,East,Corporate
C0045,Customer 0045,Male,61,Mysuru,South,Corporate
C0046,Customer 0046,Male,41,Ranchi,East,Small Business
C0047,Customer 0047,Male,25,Surat,West,Corporate
C0048,Customer 0048,Male,50,Jaipur,North,Corporate
C0049,Customer 0049,Male,64,Hyderabad,South,Consumer
C0050,Customer 0050,Male,34,Mumbai,West,Small Business
C0051,Customer 0051,Female,41,Pune,West,Small Business
C0052,Customer 0052,Male,54,Surat,West,Small Business
C0053,Customer 0053,Female,30,Chandigarh,North,Small Business
C0054,Customer 0054,Male,53,Kolkata,East,Consumer
C0055,Customer 0055,Male,39,Noida,North,Small Business
C0056,Customer 0056,Male,51,Gurugram,North,Consumer
C0057,Customer 0057,Male,56,Mysuru,South,Corporate
C0058,Customer 0058,Male,40,Bengaluru,South,Small Business
C0059,Customer 0059,Female,41,Delhi,North,Small Business
C0060,Customer 0060,Male,32,Kochi,South,Corporate
C0061,Customer 0061,Female,22,Gurugram,North,Corporate
C0062,Customer 0062,Male,54,Hyderabad,South,Corporate
C0063,Customer 0063,Male,26,Kolkata,East,Corporate
C0064,Customer 0064,Male,49,Lucknow,North,Consumer
C0065,Customer 0065,Male,26,Kochi,South,Corporate
C0066,Customer 0066,Male,32,Kolkata,East,Small Business
C0067,Customer 0067,Female,39,Indore,Central,Corporate
C0068,Customer 0068,Female,32,Hyderabad,South,Consumer
C0069,Customer 0069,Female,38,Lucknow,North,Corporate
C0070,Customer 0070,Female,21,Surat,West,Consumer
C0071,Customer 0071,Male,50,Chandigarh,North,Corporate
C0072,Customer 0072,Female,25,Ahmedabad,West,Corporate
C0073,Customer 0073,Male,56,Bengaluru,South,Consumer
C0074,Customer 0074,Male,44,Indore,Central,Corporate
C0075,Customer 0075,Male,31,Bhubaneswar,East,Consumer
C0076,Customer 0076,Female,18,Pune,West,Small Business
C0077,Customer 0077,Male,32,Bengaluru,South,Corporate
C0078,Customer 0078,Male,49,Mumbai,West,Small Business
C0079,Customer 0079,Male,29,Gurugram,North,Corporate
C0080,Customer 0080,Female,63,Mysuru,South,Small Business
C0081,Customer 0081,Male,47,Mumbai,West,Small Business
C0082,Customer 0082,Male,29,Indore,Central,Consumer
C0083,Customer 0083,Female,44,Gurugram,North,Corporate
C0084,Customer 0084,Female,40,Mumbai,West,Small Business
C0085,Customer 0085,Male,27,Indore,Central,Small Business
C0086,Customer 0086,Male,47,Hyderabad,South,Corporate
