OrderID,ReturnDate,ReturnReason
O000003,2023-07-28,Damaged
O000005,2024-02-04,Customer Changed Mind
O000029,2023-08-20,Quality Issue
O000035,2024-07-10,Late Delivery
O000057,2023-07-17,Wrong Product
O000058,2025-02-11,Damaged
O000059,2023-03-26,Quality Issue
O000092,2025-09-09,Wrong Product
O000142,2024-09-26,Damaged
O000195,2025-10-26,Late Delivery
O000199,2025-12-07,Late Delivery
O000214,2025-08-04,Quality Issue
O000247,2025-11-22,Quality Issue
O000249,2024-10-14,Customer Changed Mind
O000264,2024-01-18,Late Delivery
O000311,2024-10-19,Quality Issue
O000332,2023-07-05,Customer Changed Mind
O000344,2023-02-14,Damaged
O000348,2025-07-12,Wrong Product
O000349,2025-04-29,Customer Changed Mind
O000367,2024-08-04,Wrong Product
O000382,2024-07-03,Late Delivery
O000383,2025-07-11,Quality Issue
O000393,2024-08-12,Wrong Product
O000458,2023-01-14,Late Delivery
O000476,2024-09-05,Customer Changed Mind
O000503,2024-07-23,Customer Changed Mind
O000522,2024-06-09,Wrong Product
O000524,2024-02-11,Quality Issue
O000535,2025-10-17,Late Delivery
O000539,2025-07-06,Quality Issue
O000542,2025-03-08,Damaged
O000590,2025-06-08,Quality Issue
O000616,2024-02-03,Wrong Product
O000617,2025-08-28,Wrong Product
O000622,2024-10-08,Quality Issue
O000640,2025-07-13,Late Delivery
O000660,2026-01-02,Late Delivery
O000671,2025-06-05,Wrong Product
O000692,2024-08-22,Damaged
O000702,2024-09-18,Damaged
O000708,2024-03-11,Customer Changed Mind
O000709,2025-09-11,Customer Changed Mind
O000721,2024-03-24,Wrong Product
O000734,2023-03-26,Damaged
O000738,2024-10-02,Customer Changed Mind
O000742,2023-04-15,Customer Changed Mind
O000756,2023-07-11,Late Delivery
O000768,2025-05-30,Wrong Product
O000777,2025-02-02,Damaged
O000778,2025-01-14,Quality Issue
O000797,2025-12-06,Wrong Product
O000811,2026-01-04,Wrong Product
O000814,2024-04-16,Customer Changed Mind
O000827,2025-03-28,Wrong Product
O000849,2023-07-23,Customer Changed Mind
O000866,2024-06-08,Customer Changed Mind
O000869,2023-08-28,Wrong Product
O000874,2025-12-23,Wrong Product
O000875,2023-02-11,Quality Issue
O000906,2024-10-16,Late Delivery
O000913,2025-07-16,Damaged
O000914,2025-06-24,Customer Changed Mind
O000922,2023-06-24,Wrong Product
O000946,2025-04-28,Customer Changed Mind
O000956,2024-08-17,Customer Changed Mind
O000990,2024-10-01,Wrong Product
O000998,2023-08-17,Quality Issue
O001006,2024-06-10,Late Delivery
O001009,2023-11-08,Wrong Product
O001085,2025-04-12,Customer Changed Mind
O001086,2023-10-30,Late Delivery
O001089,2025-01-05,Customer Changed Mind
O001097,2024-04-11,Quality Issue
O001103,2023-05-09,Damaged
O001134,2024-08-25,Customer Changed Mind
O001135,2023-01-04,Customer Changed Mind
O001137,2023-07-08,Wrong Product
O001142,2023-12-18,Late Delivery
O001143,2024-01-05,Customer Changed Mind
O001160,2024-09-29,Wrong Product
O001170,2024-03-28,Late Delivery
O001173,2024-11-24,Wrong Product
O001187,2024-12-13,Wrong Product
O001189,2025-12-05,Damaged
O001194,2024-03-13,Late Delivery
O001202,2023-07-01,Wrong Product
O001206,2024-01-06,Damaged
O001239,2023-08-27,Customer Changed Mind
O001264,2025-01-11,Wrong Product
O001272,2023-01-30,Damaged
O001278,2023-04-26,Wrong Product
O001320,2023-10-06,Late Delivery
O001321,2023-06-04,Quality Issue
O001322,2023-10-24,Late Delivery
O001323,2025-10-21,Damaged
O001335,2025-08-25,Damaged
O001338,2025-07-05,Damaged
O001344,2023-08-08,Wrong Product
O001387,2025-05-10,Quality Issue
O001393,2023-04-09,Customer Changed Mind
O001412,2024-10-06,Late Delivery
O001422,2023-05-12,Customer Changed Mind
O001427,2023-06-16,Late Delivery
O001431,2025-08-01,Quality Issue
O001438,2024-02-22,Late Delivery
O001453,2023-07-30,Quality Issue
O001469,2024-05-31,Damaged
O001483,2025-05-17,Damaged
O001492,2025-07-21,Customer Changed Mind
O001503,2025-08-30,Quality Issue
O001513,2025-03-20,Late Delivery
O001514,2023-03-15,Wrong Product
O001533,2024-11-09,Quality Issue
O001534,2025-04-28,Damaged
O001535,2023-11-01,Customer Changed Mind
O001536,2023-09-22,Customer Changed Mind
O001537,2023-09-12,Wrong Product
O001547,2023-12-21,Late Delivery
O001561,2025-07-21,Late Delivery
O001562,2024-03-12,Late Delivery
O001563,2025-12-05,Late Delivery
O001584,2023-11-24,Wrong Product
O001586,2023-03-08,Customer Changed Mind
O001606,2024-06-08,Customer Changed Mind
