OrderID,OrderDate,CustomerID,ProductID,StoreID,Quantity,UnitPrice,DiscountPct,GrossSales,DiscountAmount,NetSales,Cost,Profit,PaymentMethod,Channel
O000001,2024-02-26,C0110,P0090,S021,1,13870.6,0.15,13870.6,2080.59,11790.01,8673.53,3116.48,Net Banking,Store
O000002,2023-01-04,C0880,P0061,S004,5,34524.73,0.05,172623.65,8631.18,163992.47,147909.5,16082.97,Credit Card,Online
O000003,2023-07-18,C0060,P0067,S002,4,19601.26,0.15,78405.04,11760.76,66644.28,49099.16,17545.12,Debit Card,Online
O000004,2025-04-15,C0939,P0078,S009,5,4041.58,0.1,20207.9,2020.79,18187.11,13946.8,4240.31,Credit Card,Online
O000005,2024-01-21,C0328,P0095,S024,1,48060.1,0.15,48060.1,7209.02,40851.08,39450.59,1400.49,Cash,Store
O000006,2023-06-12,C0073,P0023,S008,4,35515.92,0.1,142063.68,14206.37,127857.31,86675.84,41181.47,Debit Card,Online
O000007,2023-11-12,C0273,P0098,S012,5,15533.41,0.05,77667.05,3883.35,73783.7,57832.7,15951.0,UPI,Store
O000008,2023-10-29,C0496,P0092,S015,2,2788.32,0.15,5576.64,836.5,4740.14,3776.0,964.14,Debit Card,Online
O000009,2023-07-11,C0112,P0073,S020,6,57746.18,0.15,346477.08,51971.56,294505.52,212068.68,82436.84,Debit Card,Store
O000010,2023-04-21,C0299,P0069,S016,5,24149.0,0.15,120745.0,18111.75,102633.25,94428.95,8204.3,Credit Card,Online
O000011,2025-04-17,C0299,P0026,S002,2,5744.15,0.15,11488.3,1723.24,9765.06,8435.94,1329.12,Credit Card,Online
O000012,2025-06-22,C0164,P0063,S020,7,46255.4,0.15,323787.8,48568.17,275219.63,270061.33,5158.3,Credit Card,Online
O000013,2024-06-27,C0485,P0079,S022,7,43495.23,0.05,304466.61,15223.33,289243.28,257202.19,32041.09,UPI,Online
O000014,2024-11-05,C0025,P0016,S012,1,41548.13,0.05,41548.13,2077.41,39470.72,27121.57,12349.15,Debit Card,Online
O000015,2025-10-04,C0252,P0053,S021,2,14083.25,0.1,28166.5,2816.65,25349.85,18429.66,6920.19,Cash,Online
O000016,2025-07-12,C0144,P0032,S021,2,15930.32,0.2,31860.64,6372.13,25488.51,27335.64,-1847.13,Cash,Online
O000017,2023-02-05,C0033,P0010,S015,7,15555.2,0.15,108886.4,16332.96,92553.44,79002.0,13551.44,Net Banking,Online
O000018,2025-11-10,C0482,P0110,S018,6,60107.62,0.15,360645.72,54096.86,306548.86,227604.66,78944.2,Debit Card,Online
O000019,2023-03-15,C0893,P0058,S003,5,47365.69,0.05,236828.45,11841.42,224987.03,181584.9,43402.13,Debit Card,Store
O000020,2023-01-30,C0350,P0035,S011,3,15887.32,0.15,47661.96,7149.29,40512.67,35900.61,4612.06,UPI,Store
O000021,2024-03-17,C0652,P0098,S020,4,15533.41,0.15,62133.64,9320.05,52813.59,46266.16,6547.43,UPI,Store
O000022,2025-03-28,C0150,P0012,S001,3,34635.8,0.15,103907.4,15586.11,88321.29,71820.87,16500.42,Debit Card,Online
