Month,Region,SalesTarget
2023-01-01,North,3551745.29
2023-01-01,West,2167552.13
2023-01-01,South,3395008.85
2023-01-01,East,2139245.66
2023-01-01,Central,3520064.25
2023-02-01,North,2320488.45
2023-02-01,West,3468129.71
2023-02-01,South,3621711.02
2023-02-01,East,3013818.13
2023-02-01,Central,2113922.44
2023-03-01,North,2596537.22
2023-03-01,West,2053344.52
2023-03-01,South,1686609.12
2023-03-01,East,3152975.28
2023-03-01,Central,2565684.05
2023-04-01,North,3639254.22
2023-04-01,West,2713274.56
2023-04-01,South,3675489.87
2023-04-01,East,1657284.93
2023-04-01,Central,3305658.78
2023-05-01,North,3035268.67
2023-05-01,West,3129833.67
2023-05-01,South,1881700.91
2023-05-01,East,3714290.17
2023-05-01,Central,2597727.66
2023-06-01,North,2991052.79
2023-06-01,West,3454552.21
2023-06-01,South,3291271.13
2023-06-01,East,2937100.7
2023-06-01,Central,3101280.59
2023-07-01,North,2916883.47
2023-07-01,West,3321598.78
2023-07-01,South,3511818.96
2023-07-01,East,1808472.67
2023-07-01,Central,3888701.86
2023-08-01,North,3476972.05
2023-08-01,West,2136021.87
2023-08-01,South,1975023.88
2023-08-01,East,2024101.18
2023-08-01,Central,3364271.99
2023-09-01,North,3009282.46
2023-09-01,West,3641739.65
2023-09-01,South,2341893.51
2023-09-01,East,2996780.85
2023-09-01,Central,1576695.98
2023-10-01,North,3229982.51
2023-10-01,West,2093020.59
2023-10-01,South,3279223.99
2023-10-01,East,2549281.55
2023-10-01,Central,3646716.53
2023-11-01,North,2497009.97
2023-11-01,West,2966714.22
2023-11-01,South,2010223.1
2023-11-01,East,2413992.49
2023-11-01,Central,2013437.84
2023-12-01,North,1996453.59
2023-12-01,West,1712914.05
2023-12-01,South,2543801.46
2023-12-01,East,2265841.36
2023-12-01,Central,3438953.92
2024-01-01,North,3493353.96
2024-01-01,West,3103574.03
2024-01-01,South,2080385.55
2024-01-01,East,3709528.55
2024-01-01,Central,1676303.12
2024-02-01,North,2737913.41
2024-02-01,West,3692354.33
2024-02-01,South,2099235.08
2024-02-01,East,1794575.45
2024-02-01,Central,3185095.63
2024-03-01,North,2936689.26
2024-03-01,West,3704483.05
2024-03-01,South,2238207.24
2024-03-01,East,1705550.36
2024-03-01,Central,3042001.43
2024-04-01,North,2716413.72
2024-04-01,West,2508373.62
2024-04-01,South,2322735.14
2024-04-01,East,2895727.64
2024-04-01,Central,2236120.82
2024-05-01,North,2130546.25
2024-05-01,West,3370941.61
2024-05-01,South,3040009.33
2024-05-01,East,1904008.65
2024-05-01,Central,2907132.82
2024-06-01,North,2461662.67
2024-06-01,West,1783839.87
2024-06-01,South,3928215.8
2024-06-01,East,2183211.14
2024-06-01,Central,3729056.69
2024-07-01,North,2147153.13
2024-07-01,West,1661573.25
2024-07-01,South,3775257.4
2024-07-01,East,3623905.9
2024-07-01,Central,3918898.18
2024-08-01,North,1807915.75
2024-08-01,West,3604402.09
2024-08-01,South,3142746.33
2024-08-01,East,3003583.99
2024-08-01,Central,2121999.78
2024-09-01,North,2855060.25
2024-09-01,West,3842400.25
2024-09-01,South,2097254.48
2024-09-01,East,2685399.29
2024-09-01,Central,2641996.89
2024-10-01,North,1809588.98
2024-10-01,West,3505678.09
2024-10-01,South,1507937.62
2024-10-01,East,2892411.35
2024-10-01,Central,2937616.41
2024-11-01,North,3943722.74
2024-11-01,West,3676552.22
2024-11-01,South,3308518.12
2024-11-01,East,3394991.51
2024-11-01,Central,1668846.62
2024-12-01,North,3591211.12
2024-12-01,West,2490891.6
2024-12-01,South,3010528.18
2024-12-01,East,3992521.68
2024-12-01,Central,1950713.36
2025-01-01,North,1958130.83
2025-01-01,West,2285967.68
2025-01-01,South,2275479.69
2025-01-01,East,1712736.69
2025-01-01,Central,2037283.44
2025-02-01,North,3906845.9
2025-02-01,West,2071821.7
2025-02-01,South,3813279.72
2025-02-01,East,3269048.02
2025-02-01,Central,2788386.54
2025-03-01,North,3764803.05
2025-03-01,West,2732856.08
2025-03-01,South,2361425.08
2025-03-01,East,3464752.16
2025-03-01,Central,3368190.57
2025-04-01,North,2825573.14
2025-04-01,West,1759206.34
2025-04-01,South,2087801.56
2025-04-01,East,1877359.99
2025-04-01,Central,1729992.34
2025-05-01,North,2222245.75
2025-05-01,West,3744241.92
2025-05-01,South,1542841.94
2025-05-01,East,3798034.33
2025-05-01,Central,2143500.29
2025-06-01,North,1981942.65
2025-06-01,West,3499882.65
2025-06-01,South,2782474.88
2025-06-01,East,3874118.24
2025-06-01,Central,3019567.48
2025-07-01,North,1579824.41
2025-07-01,West,3347388.18
2025-07-01,South,3401067.07
2025-07-01,East,2851064.38
2025-07-01,Central,2974244.85
2025-08-01,North,2137078.86
2025-08-01,West,3294508.69
2025-08-01,South,2508144.26
2025-08-01,East,3956554.15
2025-08-01,Central,2936719.05
2025-09-01,North,1818810.99
2025-09-01,West,1747744.67
2025-09-01,South,1852688.32
2025-09-01,East,2640629.52
2025-09-01,Central,2202008.89
2025-10-01,North,3347165.77
2025-10-01,West,3198578.66
2025-10-01,South,2138551.9
2025-10-01,East,3431145.6
2025-10-01,Central,3361745.64
2025-11-01,North,2448934.92
2025-11-01,West,1649092.19
2025-11-01,South,3124125.24
2025-11-01,East,3136652.52
2025-11-01,Central,1980494.49
2025-12-01,North,2996177.97
2025-12-01,West,3352692.86
2025-12-01,South,3179865.2
2025-12-01,East,1960499.27
2025-12-01,Central,1890422.31
